QN_NO,RELEVANT,NOT_RELEVANT
"1","4","4"
"2","11",""
"3","10",""
"4","10",""
"5","10",""
"6","7",""
"7","8","1"
"8","10",""
"9","5","4"
"10","3","4"
"11","2","4"
"12","5","2"
"13","8",""
"14","6","1"
"15","9","1"
"16","7","1"
"17","6",""
"18","6",""
"19","5","1"
"20","8","3"
"21","4","2"
"22","7",""
"23","6",""
"24","6",""
"25","9",""
"26","7",""
"27","7","1"
"28","7",""
"29","8",""
"30","6",""
"31","8",""
"32","8",""
"33","7","1"
"34","7","1"
"35","10","1"
"36","8",""
"37","4","5"
"38","7",""
"39","1","5"
"40","4",""
"41","9",""
"42","10",""
"43","4","5"
"44","10",""
"45","8",""
"46","7",""
"47","11",""
"48","8","1"
"49","7",""
"50","11",""
"51","13",""
"52","8",""
"53","10",""
"54","3","5"
"55","2","6"
"56","8",""
"57","8",""
"58","6","1"
"59","4","4"
"60","9",""
"61","8","1"
"62","8",""
"63","8",""
"64","9",""
"65","8","1"
"66","9","1"
"67","6",""
"68","7",""
"69","9",""
"70","9","1"
"71","2","5"
"72","5","4"
"73","9","1"
"74","2","6"
"75","10","1"
"76","3","5"
"77","3","5"
"78","8",""
"79","7",""
"80","9",""
"81","7",""
"82","8",""
"83","7","1"
"84","9",""
"85","8",""
"86","8",""
"87","2","6"
"88","6","1"
"89","3","6"
"90","5","3"
"91","8",""
"92","8",""
"93","8",""
"94","8",""
"95","7",""
"96","7",""
"97","7",""
"98","7",""
"99","8",""
"100","7",""
"101","8",""
"102","3","4"
"103","9","1"
"104","7","1"
"105","7",""
"106","8",""
"107","5","1"
"108","7",""
"109","2","6"
"110","8",""
"111","7",""
"112","7",""
"113","2","6"
"114","7",""
"115","7","1"
"116","7","1"
"117","6","1"
"118","6",""
"119","6",""
"120","8",""
"121","7",""
"122","5","1"
"123","8",""
"124","10",""
"125","7",""
"126","2","4"
"127","3","5"
"128","8",""
"129","6","2"
"130","10",""
"131","11",""
"132","7",""
"133","6",""
"134","7",""
"135","7",""
"136","8",""
"137","4","5"
"138","5",""
"139","11",""
"140","2","6"
"141","6",""
"142","6",""
"143","5",""
"144","1","4"
"145","2","5"
"146","4",""
"147","7",""
"148","10",""
"149","5",""
"150","5",""
"151","7",""
"152","3","5"
"153","7",""
"154","8","1"
"155","6",""
"156","7",""
"157","7",""
"158","7",""
"159","5",""
"160","7",""
"161","7",""
"162","2","5"
"163","6",""
"164","8",""
"165","6",""
"166","","5"
"167","9","2"
"168","5",""
"169","6",""
"170","7","1"
"171","4","3"
"172","","6"
"173","6",""
"174","1","5"
"175","6",""
"176","2","6"
"177","5",""
"178","1","5"
"179","6",""
"180","4","5"
"181","1","5"
"182","9",""
"183","7",""
"184","1","5"